date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d,Month,Interest
10/09/2013,18.0786,18.1232,17.4821,17.6657,743195600,494.6396,-2.28,404719700,2013-09,87
11/09/2013,16.6789,16.9175,16.6004,16.7039,898696400,467.7092,-5.44,405557460,2013-09,87
12/09/2013,16.7321,16.9786,16.6432,16.8818,404051200,472.6904,1.07,387941400,2013-09,87
13/09/2013,16.7621,16.8511,16.5964,16.6036,298835600,464.9008,-1.65,378368480,2013-09,87
16/09/2013,16.4643,16.4861,15.9721,16.0757,543706800,450.1196,-3.18,387438520,2013-09,87
17/09/2013,15.9986,16.4182,15.9821,16.2614,399380800,455.3192,1.16,381881640,2013-09,87
18/09/2013,16.5421,16.6554,16.4521,16.5957,456862000,464.6796,2.06,386790320,2013-09,87
19/09/2013,16.8107,16.9939,16.7589,16.8679,404541200,472.3012,1.64,390223400,2013-09,87
20/09/2013,17.0714,17.0911,16.6429,16.6932,699302800,467.4096,-1.04,412978160,2013-09,87
23/09/2013,17.7179,17.7468,17.2357,17.5229,762106800,490.6412,4.97,439946920,2013-09,87
24/09/2013,17.6743,17.6954,17.4221,17.4679,364344400,489.1012,-0.31,441615860,2013-09,87
25/09/2013,17.4714,17.4871,17.1939,17.1975,316957200,481.53,-1.55,436254280,2013-09,87
26/09/2013,17.3571,17.4486,17.2821,17.365,237221600,486.22,0.97,432734960,2013-09,87
27/09/2013,17.2779,17.3096,17.1686,17.2411,228040400,482.7508,-0.71,432154100,2013-09,87
30/09/2013,17.0446,17.2021,16.9432,17.0268,260156400,476.7504,-1.24,431547060,2013-09,87
01/10/2013,17.0875,17.4693,17.085,17.4271,353883600,487.9588,2.35,432644800,2013-10,63
02/10/2013,17.3439,17.5643,17.2768,17.4843,289184000,489.5604,0.33,429852360,2013-10,63
03/10/2013,17.5182,17.5839,17.1693,17.2646,322753200,483.4088,-1.26,434171640,2013-10,63
04/10/2013,17.2807,17.3071,17.0929,17.2511,258868400,483.0308,-0.08,429138780,2013-10,63
